,期貨代號,多單成交口數_外資,多單成交口數_投信,多單成交口數_自營商,多單成交金額_外資,多單成交金額_投信,多單成交金額_自營商,多單未平倉口數_外資,多單未平倉口數_投信,多單未平倉口數_自營商,多單未平倉金額_外資,多單未平倉金額_投信,多單未平倉金額_自營商,空單成交口數_外資,空單成交口數_投信,空單成交口數_自營商,空單成交金額_外資,空單成交金額_投信,空單成交金額_自營商,空單未平倉口數_外資,空單未平倉口數_投信,空單未平倉口數_自營商,空單未平倉金額_外資,空單未平倉金額_投信,空單未平倉金額_自營商,商品名稱,合約類型,前五大交易員買方未平倉量,前五大交易員買方未平倉量百分比,前十大交易員買方未平倉量,前十大交易員買方未平倉量百分比,前五大交易員賣方未平倉量,前五大交易員賣方未平倉量百分比,前十大交易員賣方未平倉量,前十大交易員賣方未平倉量百分比,全體未平倉量,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,期貨代號,未沖銷契約數,多單未平倉口數,空單未平倉口數,未沖銷契約數,三大法人未平倉量,散戶多單,散戶空單,多空比
2018-06-05,TX,43660.0,53.0,16010.0,96744874.0,117320.0,35407810.0,72646.0,1716.0,8394.0,160633794.0,3798881.0,18097645.0,44337.0,393.0,16344.0,98256299.0,870142.0,36136490.0,24929.0,26133.0,10601.0,54946371.0,57853235.0,23059521.0,臺股期貨,all,56598.0,48.4,71326.0,61.0,39171.0,33.5,49232.0,42.1,116860.0,56598.0,48.4,63096.0,54.0,36551.0,31.3,40145.0,34.4,TX,105924,21832.0,10568.0,53166.0,32400.0,31334.0,42598.0,-0.21186472557649624
2018-06-06,TX,54950.0,393.0,20806.0,122352058.0,879606.0,46271438.0,78562.0,1688.0,8355.0,175707537.0,3780445.0,18215510.0,46849.0,105.0,24824.0,104329549.0,234643.0,55254918.0,22750.0,25817.0,14585.0,50702057.0,57819753.0,32277896.0,臺股期貨,all,59348.0,47.3,76219.0,60.7,38910.0,31.0,50403.0,40.2,125517.0,59348.0,47.3,67323.0,53.6,31385.0,25.0,38286.0,30.5,TX,112680,29101.0,11946.0,61543.0,41047.0,32442.0,49597.0,-0.2787481923208163
2018-06-07,TX,51972.0,121.0,17719.0,116473656.0,271318.0,39631422.0,76369.0,1720.0,7732.0,171233679.0,3862088.0,16849179.0,55267.0,292.0,16482.0,123877249.0,655602.0,36852701.0,23852.0,26020.0,12725.0,53302760.0,58425308.0,28169463.0,臺股期貨,all,58544.0,48.0,74181.0,60.8,37836.0,31.0,48914.0,40.1,122017.0,58544.0,48.0,65053.0,53.3,34513.0,28.3,38613.0,31.6,TX,109476,28689.0,14657.0,59488.0,43346.0,30799.0,44831.0,-0.23587950511027433
2018-06-08,TX,49370.0,10.0,15711.0,110244773.0,22222.0,35016021.0,74893.0,1656.0,8011.0,166386759.0,3684600.0,17322894.0,50896.0,547.0,16126.0,113658864.0,1217113.0,35906302.0,23902.0,26493.0,13416.0,52929841.0,58946925.0,29420384.0,臺股期貨,all,58028.0,48.0,74215.0,61.4,39062.0,32.3,50080.0,41.4,120878.0,58028.0,48.0,64318.0,53.2,33022.0,27.3,39726.0,32.9,TX,108511,27850.0,17594.0,58457.0,45444.0,30607.0,40863.0,-0.17544519903518827
2018-06-11,TX,46731.0,6.0,13583.0,103962131.0,13353.0,30169835.0,74625.0,1530.0,7033.0,165817366.0,3405168.0,15146695.0,47318.0,199.0,14911.0,105273154.0,443246.0,33125032.0,24220.0,26560.0,13766.0,53638811.0,59111936.0,30207913.0,臺股期貨,all,56959.0,47.0,72402.0,59.7,39459.0,32.5,50257.0,41.5,121234.0,56959.0,47.0,60910.0,50.2,36361.0,30.0,39825.0,32.8,TX,108428,27792.0,20402.0,59918.0,48194.0,32126.0,39516.0,-0.12333522480723656
2018-06-12,TX,63025.0,16.0,20829.0,139946701.0,35612.0,46205536.0,74397.0,1486.0,6976.0,165429259.0,3311105.0,15042924.0,63225.0,117.0,20476.0,140447536.0,259650.0,45398398.0,24185.0,26617.0,13338.0,53621552.0,59307999.0,29253275.0,臺股期貨,all,56366.0,46.8,71924.0,59.8,40200.0,33.4,51065.0,42.4,120314.0,56366.0,46.8,62887.0,52.3,37440.0,31.1,40940.0,34.0,TX,107456,28289.0,21495.0,60310.0,49784.0,32021.0,38815.0,-0.11265130160835682
2018-06-13,TX,44501.0,49.0,17674.0,99040954.0,109314.0,39305968.0,73295.0,1522.0,7541.0,162999521.0,3392842.0,16342462.0,45143.0,36.0,16649.0,100504597.0,79946.0,36998259.0,23726.0,26640.0,12508.0,52612599.0,59385888.0,27424783.0,臺股期貨,all,54316.0,45.5,70512.0,59.0,40638.0,34.0,50995.0,42.7,119439.0,54316.0,45.5,60941.0,51.0,37633.0,31.5,41142.0,34.4,TX,106747,27968.0,21958.0,61602.0,49926.0,33634.0,39644.0,-0.09756176747508198
2018-06-14,TX,56504.0,3216.0,19396.0,124695478.0,7100255.0,42787908.0,71217.0,1609.0,6653.0,155849438.0,3527360.0,14204198.0,62462.0,3785.0,19736.0,138084905.0,8184828.0,43443279.0,27606.0,27296.0,11913.0,60335160.0,59792705.0,25683033.0,臺股期貨,all,52697.0,44.7,67969.0,57.7,42980.0,36.5,53478.0,45.4,117816.0,52697.0,44.7,61552.0,52.2,40141.0,34.1,44603.0,37.9,TX,105285,23315.0,27135.0,59709.0,50450.0,36394.0,32574.0,0.06397695489792159
2018-06-15,TX,78011.0,13207.0,17179.0,170780893.0,29053940.0,37682522.0,76582.0,1668.0,7525.0,167885980.0,3658251.0,16183597.0,76662.0,13199.0,17723.0,168487110.0,28440242.0,38852295.0,31625.0,27315.0,13139.0,69483165.0,59577736.0,28489804.0,臺股期貨,all,53797.0,43.5,72218.0,58.5,45502.0,36.8,57611.0,46.6,123536.0,53797.0,43.5,64757.0,52.4,42078.0,34.1,47421.0,38.4,TX,111195,24242.0,26787.0,59954.0,51029.0,35712.0,33167.0,0.042449211061814054
2018-06-19,TX,126360.0,11501.0,28214.0,273937143.0,25051158.0,61352684.0,75873.0,1422.0,8909.0,162174412.0,3033570.0,18915682.0,132088.0,12402.0,25214.0,286904682.0,26505097.0,54760132.0,36684.0,27972.0,11239.0,78365389.0,59473388.0,23839038.0,臺股期貨,all,54480.0,44.1,72582.0,58.7,44797.0,36.2,57092.0,46.2,123616.0,54480.0,44.1,64398.0,52.1,41758.0,33.8,50129.0,40.6,TX,111591,21959.0,31152.0,59016.0,53111.0,37057.0,27864.0,0.15577131625321947
